propension_12m,sexo,edad,d2_01,d2_03,d2_04,d2_05,d2_06,d2_07
1,1,33,9,6,1,5.0,1.0,1.0
1,1,23,9,6,0,5.0,1.0,1.0
0,1,34,9,2,5,4.0,1.0,1.0
0,2,23,9,6,1,7.0,1.0,2.0
0,1,40,9,3,1,5.0,1.0,1.0
0,1,45,9,5,1,4.0,1.0,1.0
0,1,42,9,6,2,3.0,1.0,1.0
0,1,44,9,6,1,5.0,1.0,1.0
0,1,31,9,2,1,5.0,1.0,1.0
0,1,50,9,6,0,5.0,1.0,1.0
0,2,46,9,6,0,6.0,4.0,3.0
0,2,23,5,6,0,7.0,2.0,2.0
1,2,22,9,6,1,6.0,1.0,2.0
1,1,28,9,1,0,6.0,1.0,1.0
0,2,20,9,2,1,3.0,1.0,2.0
1,1,21,9,2,1,4.0,1.0,1.0
0,2,60,9,5,3,3.0,1.0,2.0
1,1,23,9,6,0,5.0,1.0,1.0
0,1,30,9,5,2,3.0,1.0,1.0
0,1,30,9,3,1,7.0,3.0,1.0
0,1,57,9,2,2,3.0,1.0,1.0
0,1,38,9,2,0,6.0,1.0,1.0
0,2,62,9,3,3,5.0,1.0,2.0
0,1,26,9,6,0,7.0,1.0,1.0
0,1,18,9,6,0,7.0,1.0,1.0
0,1,39,9,6,0,3.0,1.0,1.0
1,1,23,9,6,0,5.0,1.0,1.0
0,1,20,9,6,0,5.0,1.0,1.0
0,1,52,9,5,2,7.0,1.0,1.0
1,1,27,9,5,1,6.0,1.0,1.0
0,1,62,5,6,2,5.0,1.0,1.0
0,1,35,9,6,0,7.0,1.0,1.0
1,2,23,5,5,1,5.0,1.0,2.0
0,1,24,1,6,0,7.0,1.0,1.0
1,2,19,9,5,1,5.0,1.0,2.0
1,2,18,9,6,1,6.0,3.0,2.0
0,2,27,1,2,1,5.0,1.0,2.0
0,1,30,9,6,0,7.0,1.0,1.0
0,1,37,9,5,1,6.0,1.0,1.0
0,1,56,9,2,3,5.0,1.0,1.0
0,1,42,9,3,2,8.0,1.0,1.0
0,1,49,9,5,1,5.0,1.0,1.0
0,1,27,9,2,0,6.0,1.0,1.0
0,2,23,9,6,1,5.0,1.0,2.0
0,1,33,9,6,0,7.0,2.0,1.0
0,1,40,9,5,1,6.0,1.0,1.0
0,2,33,9,5,2,5.0,1.0,2.0
1,1,27,9,6,0,6.0,1.0,1.0
1,1,38,9,2,1,4.0,1.0,1.0
1,1,45,9,3,1,5.0,1.0,1.0
0,2,58,9,6,0,6.0,1.0,2.0
1,1,22,9,6,0,6.0,1.0,1.0
1,1,29,9,5,0,6.0,1.0,1.0
1,1,27,9,2,1,5.0,1.0,1.0
0,1,22,9,6,0,6.0,1.0,1.0
0,2,41,9,6,0,6.0,1.0,2.0
0,1,40,9,3,4,5.0,1.0,1.0
0,2,36,9,6,1,6.0,1.0,2.0
1,1,25,9,6,0,7.0,2.0,1.0
0,1,22,9,6,0,5.0,1.0,1.0
0,1,30,9,5,2,3.0,1.0,1.0
1,2,28,9,6,0,7.0,1.0,2.0
0,2,54,9,5,2,5.0,1.0,2.0
1,1,19,9,5,1,4.0,1.0,1.0
