directorio,secuencia_encuesta,secuencia_p,orden,propension_12m,consumo_12m,consumo_12m_missing_original,precio_compra,log_precio_compra,cantidad_consumo,gasto_valor,sexo,sexo_label,edad,edad_cuadrado,d2_05,educacion_label,educacion_grupo,n_hijos,familiares_consumen,amigos_consumen,probaria_sustancias,cannabis_medicinal,actividad_laboral,regimen_salud,sintomas_depresivos,anhedonia,riesgo_marihuana_ocasional,riesgo_marihuana_frecuente,frecuencia_consumo,facil_marihuana,consumo_vida,consumo_30d,consumo_reciente,edad_inicio,tipo_sustancia,lugar_consumo,forma_conseguir,gasto_total,gasto_descripcion,riesgo_marihuana,riesgo_cocaina,riesgo_basuco,riesgo_extasis,riesgo_heroina,riesgo_lsd,riesgo_inhalantes,riesgo_anfetaminas,riesgo_tranquilizantes,facilidad_conseguir,facil_cocaina,facil_basuco,actitud_marihuana,actitud_cocaina,actitud_basuco,actitud_extasis,actitud_heroina,actitud_lsd,actitud_inhalantes,actitud_anfetaminas,actitud_tranquilizantes,actitud_drogas_general,actitud_legalizacion,actitud_regulacion,actitud_prevencion,actitud_sanciones,actitud_tratamiento,d2_01,d2_03,d2_04,d2_06,d2_07,g_01,g_02,g_04,g_09,d_02,d_07,d_09,d_10,d_11_f,d_11_g
37014,1,1,1,1,1.0,0,,,3.0,4000.0,2,Mujer,30,900,5,Media,Media,0,0.0,1.0,1.0,1.0,Trabajando,,0.0,0.0,2.0,2.0,1,1.0,,,,3,3.0,2.0,,1.0,CUATRO MIL PESOS,,,,1.0,,,,,,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,2.0,2.0,2,1,1,1,1,,2,2,2,2
37018,9,1,9,0,,1,,,,,1,Hombre,35,1225,7,Universitaria,Superior,2,0.0,0.0,0.0,1.0,Trabajando,Contributivo,0.0,0.0,1.0,2.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,1.0,1.0,2,2,2,1,1,1.0,2,2,1,2
37025,1,1,1,1,1.0,0,,,1.0,5000.0,2,Mujer,31,961,7,Universitaria,Superior,0,0.0,1.0,1.0,1.0,Trabajando,Contributivo,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,,3,2.0,2.0,,1.0,cinco mil,,,,1.0,,,,,,1.0,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,1.0,2.0,2,1,1,1,1,1.0,1,1,1,1
37028,3,1,3,0,,1,,,10.0,5000.0,1,Hombre,16,256,5,Media,Media,0,1.0,1.0,0.0,1.0,Estudiando,Subsidiado,1.0,1.0,2.0,2.0,1,,1.0,,,2,1.0,2.0,,1.0,CINCO MIL,,,,1.0,,,,,,2.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,9,6,0,,,1,1,2,1,3,3.0,1,1,2,2
37043,2,1,2,0,,1,,,,,2,Mujer,37,1369,7,Universitaria,Superior,3,0.0,0.0,0.0,1.0,Trabajando,Contributivo,0.0,0.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,3,1.0,2.0,2,2,2,1,1,1.0,2,2,4,4
37057,3,1,3,0,,1,,,,,1,Hombre,59,3481,3,Basica primaria,Baja,0,0.0,0.0,0.0,0.0,Buscando empleo,,0.0,0.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0,2,2,2,2,2,,2,2,4,4
37060,1,1,1,0,,1,,,,,2,Mujer,29,841,3,Basica primaria,Baja,2,0.0,1.0,1.0,1.0,Trabajando,Subsidiado,0.0,0.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,2,1.0,2.0,2,1,1,1,1,3.0,2,2,4,4
37070,2,1,2,1,1.0,0,100000.0,11.512925464970229,30.0,,1,Hombre,21,441,5,Media,Media,1,1.0,1.0,1.0,0.0,Buscando empleo,,0.0,0.0,3.0,3.0,1,1.0,1.0,1.0,,3,5.0,1.0,30.0,2.0,,,,1.0,,,,,,,1.0,,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,6,1,1.0,1.0,1,1,1,2,2,,2,2,3,3
37074,2,1,2,0,,1,,,,,1,Hombre,36,1296,6,Tecnica/tecnologica,Superior,2,0.0,1.0,1.0,0.0,Trabajando,Contributivo,0.0,0.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,2,1.0,1.0,2,1,1,2,1,1.0,2,2,4,4
37090,1,1,1,1,1.0,0,200000.0,12.206072645530174,35.0,4000.0,2,Mujer,20,400,5,Media,Media,1,1.0,1.0,1.0,1.0,Trabajando,Contributivo,1.0,1.0,1.0,1.0,1,,1.0,1.0,1.0,3,5.0,1.0,30.0,1.0,CUATRO MIL PESOS,,,,1.0,,1.0,,,,2.0,,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,9,6,1,1.0,2.0,1,1,1,1,1,1.0,1,1,1,1
