d2_01,d2_03,d2_04,d2_05,d2_05_a,d2_06,d2_07,directorio,secuencia_encuesta,secuencia_p,orden
9,6,0,7,709,1.0,2.0,351,1,1,1
1,3,2,3,305,1.0,1.0,352,1,1,1
9,3,2,7,705,1.0,2.0,353,2,1,2
9,6,0,7,704,1.0,2.0,354,3,1,3
9,6,2,6,601,1.0,2.0,356,1,1,1
5,6,0,5,511,1.0,1.0,357,3,1,3
9,6,0,4,406,1.0,1.0,358,2,1,2
9,4,3,7,702,1.0,1.0,359,1,1,1
9,6,0,5,510,,,360,4,1,4
9,2,3,3,305,1.0,1.0,361,1,1,1
5,4,6,7,705,1.0,1.0,362,1,1,1
5,6,1,8,801,1.0,2.0,363,1,1,1
9,2,5,5,510,1.0,1.0,364,1,1,1
5,4,2,6,602,1.0,2.0,365,1,1,1
5,2,2,6,606,1.0,2.0,366,2,1,2
9,3,2,7,705,1.0,2.0,367,2,1,2
5,6,0,5,513,1.0,1.0,368,2,1,2
9,6,0,4,408,,,369,2,1,2
9,2,1,5,511,1.0,1.0,370,2,1,2
9,3,1,5,511,1.0,2.0,372,2,1,2
9,3,3,3,305,1.0,1.0,373,1,1,1
9,5,3,6,601,1.0,2.0,374,4,1,4
9,2,1,5,511,1.0,2.0,375,1,1,1
9,6,1,7,704,1.0,2.0,376,3,1,3
9,5,4,4,408,1.0,2.0,377,1,1,1
9,5,3,7,705,1.0,2.0,378,1,1,1
9,5,1,5,511,1.0,2.0,379,4,1,4
9,3,2,3,302,1.0,1.0,380,1,1,1
9,2,3,6,603,1.0,2.0,381,2,1,2
9,4,11,1,100,1.0,2.0,382,1,1,1
5,2,7,3,305,1.0,1.0,384,1,1,1
9,6,0,6,602,1.0,1.0,385,1,1,1
9,6,0,4,408,,,388,3,1,3
5,6,0,6,606,1.0,2.0,389,3,1,3
9,6,0,7,705,1.0,1.0,390,3,1,3
5,2,2,6,603,1.0,1.0,391,1,1,1
9,6,0,5,511,1.0,1.0,392,4,1,4
9,3,0,7,705,1.0,2.0,393,2,1,2
9,2,0,5,511,1.0,2.0,394,2,1,2
5,1,3,4,409,1.0,1.0,395,1,1,1
9,6,4,3,305,1.0,2.0,396,2,1,2
9,2,3,6,603,1.0,2.0,397,1,1,1
1,3,3,3,305,1.0,2.0,398,2,1,2
9,3,2,8,802,1.0,2.0,399,2,1,2
5,5,1,5,511,1.0,2.0,400,1,1,1
9,5,0,5,513,1.0,1.0,401,3,1,3
9,6,0,8,802,1.0,2.0,402,1,1,1
9,6,0,4,406,,,403,2,1,2
9,3,1,4,409,1.0,1.0,404,4,1,4
5,6,0,4,408,,,405,3,1,3
9,6,1,4,408,1.0,1.0,406,2,1,2
9,5,2,5,511,1.0,2.0,407,2,1,2
9,2,3,5,511,1.0,2.0,408,2,1,2
5,1,9,3,305,1.0,1.0,410,1,1,1
9,3,2,4,408,1.0,2.0,411,2,1,2
1,3,2,5,511,1.0,2.0,412,1,1,1
5,5,3,4,409,1.0,2.0,414,3,1,3
